identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,propertyURI,valueURI,viewURL,query_datetime_utc,,MEASUREMENT_METHOD,NOTES
doi:10.5063/F1542KVC,HighSeas_tag_recovery_database.csv,RelLength,NA,"Length at release, in millimeters",millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1542KVC,2020-10-09T15:30:35Z,,unknown,no measurement type data in .csv file or abstract
doi:10.5063/F1542KVC,HighSeas_tag_recovery_database.csv,RecLength,NA,Length at recovery,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1542KVC,2020-10-09T15:30:35Z,,unknown,no measurement type data in .csv file or abstract
doi:10.5063/F15T3HRG,ASL_formatted_BristolBay.csv,Length,NA,Length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F15T3HRG,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F15T3HRG,ASL_formatted_BristolBay.csv,Length.Measurement.Type,NA,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F15T3HRG,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F15T3HRG,ASL_unformatted_BristolBay.csv,Length,Salmon Length,Length of salmon fish in millimeters measured from mid-eye to the fork of the tail.,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F15T3HRG,2020-10-09T15:30:35Z,,ANNOTATE: mid-eye to fork of tail,
doi:10.5063/F15T3HRG,ASL_unformatted_BristolBay.csv,LengthType,Length Measurement Type,Type of length measurement. Coded values for length measurement type codes are defined in ASL_Formatting_BristolBay.R,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F15T3HRG,2020-10-09T15:30:35Z,,unknown,only NAs
doi:10.5063/F15T3HRG,ASL_unformatted_BristolBay.csv,Type_of_length_measurement,Length Measurement Type,Type of length measurement. Coded values for length measurement type codes are defined in ASL_Formatting_BristolBay.R,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F15T3HRG,2020-10-09T15:30:35Z,,unknown,"NA, TRUE"
doi:10.5063/F18K77BT,ASL_formatted_EastSideChinook.csv,Length.Measurement.Type,NA,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F18K77BT,2020-10-09T15:30:35Z,,TYPE: mid-eye to fork of tail,1 measurement type
doi:10.5063/F18K77BT,ASL_formatted_EastSideChinook.csv,Length,NA,Length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F18K77BT,2020-10-09T15:30:35Z,,ANNOTATE: mid-eye to fork of tail,1 measurement type
doi:10.5063/F11R6NSS,ASL_formatted_SoutheastSupplement.csv,Length,NA,length of sampled fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F11R6NSS,2020-10-09T15:30:35Z,,unknown,"no measurement type data in .csv file; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F1222S1G,ASL_formatted_UpperCookInlet.csv,Length,NA,Length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1222S1G,2020-10-09T15:30:35Z,,unknown,"data not available for download; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F1222S1G,ASL_formatted_UpperCookInlet.csv,Length.Measurement.Type,NA,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1222S1G,2020-10-09T15:30:35Z,,unknown,"data not available for download; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F12N50JP,HR002286.csv,Length,NA,Average length of a fish in this release group at point of release (millimeters),millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F12N50JP,2020-10-09T15:30:35Z,,unknown,parsing failure; cannot read .csv file
doi:10.5063/F12N50JP,Hatchery_releases.csv,Length,NA,Average length of a fish in this release group at point of release (millimeters),millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F12N50JP,2020-10-09T15:30:35Z,,unknown,no measurement type data in .csv file or abstract
doi:10.5063/F1ZW1J77,sockeye_scale_data.csv,length,NA,length of fish sampled,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1ZW1J77,2020-10-09T15:30:35Z,,unknown,no measurement type data in .csv file or abstract
doi:10.5063/F1DB8030,ASL_formatted_CoghillWeir.csv,Length,NA,Length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1DB8030,2020-10-09T15:30:35Z,,ANNOTATE: mid-eye to fork of tail,info in abstract but couldn't download data to check
doi:10.5063/F1DB8030,ASL_formatted_CoghillWeir.csv,Length.Measurement.Type,NA,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1DB8030,2020-10-09T15:30:35Z,,TYPE: mid-eye to fork of tail,info in abstract but couldn't download data to check
doi:10.5063/F1DB8030,ASL_formatted_CopperRiverSockeye.csv,Length,NA,Length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1DB8030,2020-10-09T15:30:35Z,,ANNOTATE: mid-eye to fork of tail,info in abstract but couldn't download data to check
doi:10.5063/F1FF3QMV,PWS_CopperRiver.csv,length,NA,length of sampled fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1FF3QMV,2020-10-09T15:30:35Z,,tidy measurements,6 measurement types
doi:10.5063/F1FF3QMV,PWS_CopperRiver.csv,length_measurement_type,NA,specification of which parts of the fish were used to obtain a length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1FF3QMV,2020-10-09T15:30:35Z,,tidy measurements,6 measurement types
doi:10.5063/F1K64GBK,ASL_formatted_Kotzebue.csv,Length,NA,length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1K64GBK,ASL_formatted_Kotzebue.csv,Length.Measurement.Type,NA,type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1K64GBK,ASL_formatted_Kuskokwim.csv,Length,NA,length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,4 measurement types
doi:10.5063/F1K64GBK,ASL_formatted_Kuskokwim.csv,Length.Measurement.Type,NA,type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,4 measurement types
doi:10.5063/F1K64GBK,ASL_formatted_NorthernArea.csv,Length,NA,length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,ANNOTATE: mid-eye to fork of tail,1 measurement type
doi:10.5063/F1K64GBK,ASL_formatted_NorthernArea.csv,Length.Measurement.Type,NA,type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,TYPE: mid-eye to fork of tail,1 measurement type
doi:10.5063/F1K64GBK,ASL_formatted_NortonSound.csv,Length,NA,length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,5 measurement types
doi:10.5063/F1K64GBK,ASL_formatted_NortonSound.csv,Length.Measurement.Type,NA,type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,5 measurement types
doi:10.5063/F1K64GBK,ASL_formatted_Yukon.csv,Length,NA,length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,6 measurement types
doi:10.5063/F1K64GBK,ASL_formatted_Yukon.csv,Length.Measurement.Type,NA,type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,6 measurement types
doi:10.5063/F1K64GBK,ASL_formatted_YukonCanada.csv,Length,NA,length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,6 measurement types
doi:10.5063/F1K64GBK,ASL_formatted_YukonCanada.csv,Length.Measurement.Type,NA,type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,6 measurement types
doi:10.5063/F1K64GBK,YukonCanada_ASL.csv,length,Fish Length,The length of the fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,6 measurement types
doi:10.5063/F1K64GBK,YukonCanada_ASL.csv,lengthMeasurementType,Length Measurement Type,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,6 measurement types
doi:10.5063/F1K64GBK,Yukon_ASL.csv,length,Fish Length,The length of the fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,6 measurement types
doi:10.5063/F1K64GBK,Yukon_ASL.csv,lengthMeasurementType,Length Measurement Type,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,6 measurement types
doi:10.5063/F1K64GBK,NortonSound_ASL.csv,length,Fish Length,The length of the fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,5 measurement types
doi:10.5063/F1K64GBK,NortonSound_ASL.csv,lengthMeasurementType,Length Measurement Type,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,5 measurement types
doi:10.5063/F1K64GBK,NorthernArea_ASL.csv,length,Fish Length,The length of the fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,ANNOTATE: mid-eye to fork of tail,1 measurement type
doi:10.5063/F1K64GBK,NorthernArea_ASL.csv,lengthMeasurementType,Length Measurement Type,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,TYPE: mid-eye to fork of tail,1 measurement type
doi:10.5063/F1K64GBK,Kuskokwim_ASL.csv,length,Fish Length,The length of the fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1K64GBK,Kuskokwim_ASL.csv,lengthMeasurementType,Length Measurement Type,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1K64GBK,Kotzebue_ASL.csv,length,Fish Length,The length of the fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1K64GBK,Kotzebue_ASL.csv,lengthMeasurementType,Length Measurement Type,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1K64GBK,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1NV9GHW,ASL_formatted_LowerCookInlet.csv,Length,NA,Length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1NV9GHW,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1NV9GHW,ASL_formatted_LowerCookInlet.csv,Length.Measurement.Type,NA,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1NV9GHW,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1PR7T8D,ASL_formatted_PrinceWilliamSoundpinks.csv,Length,NA,length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1PR7T8D,2020-10-09T15:30:35Z,,ANNOTATE: mid-eye to fork of tail,1 measurement type
doi:10.5063/F1PR7T8D,ASL_formatted_PrinceWilliamSoundpinks.csv,Length.Measurement.Type,NA,type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1PR7T8D,2020-10-09T15:30:35Z,,TYPE: mid-eye to fork of tail,1 measurement type
doi:10.5063/F1SJ1HWB,ASL_formatted_SoutheastKodiak.csv,Length Measurement Type,NA,type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1SJ1HWB,2020-10-09T15:30:35Z,,unknown,"data not available for download; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F1SJ1HWB,ASL_formatted_SoutheastKodiak.csv,Length,NA,length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1SJ1HWB,2020-10-09T15:30:35Z,,unknown,"data not available for download; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F1SJ1HWB,ASL_DATA_EXPORT.csv,LENGTH_TYPE,Length Measurement Type,The type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1SJ1HWB,2020-10-09T15:30:35Z,,unknown,"data not available for download; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F1SJ1HWB,ASL_DATA_EXPORT.csv,LENGTH_MM,Fish Length,Length of fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1SJ1HWB,2020-10-09T15:30:35Z,,unknown,"data not available for download; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F1W957GP,ASL_bristol_bay_full.csv,Length,NA,length of fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1W957GP,ASL_bristol_bay_full.csv,Length.Measurement.Type,NA,method used to measure fish length,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1W957GP,2010.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2010.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2011.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,4 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2011.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,4 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2012.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2012.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2013.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2013.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2014.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2014.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2015.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,unknown,only NAs
doi:10.5063/F1W957GP,2015.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,unknown,only NAs